python /home/drr342/dl/assignments/hw3/examples/word_language_model/main.py --data /home/drr342/dl/assignments/hw3/examples/word_language_model/data/wikitext-2 --save /home/drr342/dl/assignments/hw3/models/LSTM'_'400'_'2'_'16.pt --cuda --model LSTM --epochs 10 --emsize 400 --nlayers 2 --bptt 16

| epoch   1 |   200/ 6526 batches | lr 20.00 | ms/batch 28.27 | loss  7.65 | ppl  2108.22
| epoch   1 |   400/ 6526 batches | lr 20.00 | ms/batch 27.40 | loss  6.84 | ppl   936.35
| epoch   1 |   600/ 6526 batches | lr 20.00 | ms/batch 27.99 | loss  6.54 | ppl   693.24
| epoch   1 |   800/ 6526 batches | lr 20.00 | ms/batch 27.41 | loss  6.34 | ppl   568.17
| epoch   1 |  1000/ 6526 batches | lr 20.00 | ms/batch 27.64 | loss  6.18 | ppl   483.99
| epoch   1 |  1200/ 6526 batches | lr 20.00 | ms/batch 27.53 | loss  6.07 | ppl   433.63
| epoch   1 |  1400/ 6526 batches | lr 20.00 | ms/batch 27.77 | loss  5.92 | ppl   373.12
| epoch   1 |  1600/ 6526 batches | lr 20.00 | ms/batch 27.79 | loss  5.90 | ppl   364.39
| epoch   1 |  1800/ 6526 batches | lr 20.00 | ms/batch 27.64 | loss  5.89 | ppl   362.86
| epoch   1 |  2000/ 6526 batches | lr 20.00 | ms/batch 27.70 | loss  5.82 | ppl   338.33
| epoch   1 |  2200/ 6526 batches | lr 20.00 | ms/batch 28.21 | loss  5.80 | ppl   329.62
| epoch   1 |  2400/ 6526 batches | lr 20.00 | ms/batch 28.32 | loss  5.76 | ppl   317.21
| epoch   1 |  2600/ 6526 batches | lr 20.00 | ms/batch 27.88 | loss  5.74 | ppl   310.34
| epoch   1 |  2800/ 6526 batches | lr 20.00 | ms/batch 27.75 | loss  5.75 | ppl   314.37
| epoch   1 |  3000/ 6526 batches | lr 20.00 | ms/batch 27.82 | loss  5.69 | ppl   296.64
| epoch   1 |  3200/ 6526 batches | lr 20.00 | ms/batch 27.69 | loss  5.67 | ppl   290.67
| epoch   1 |  3400/ 6526 batches | lr 20.00 | ms/batch 27.65 | loss  5.75 | ppl   315.34
| epoch   1 |  3600/ 6526 batches | lr 20.00 | ms/batch 28.76 | loss  5.65 | ppl   285.20
| epoch   1 |  3800/ 6526 batches | lr 20.00 | ms/batch 27.91 | loss  5.58 | ppl   265.03
| epoch   1 |  4000/ 6526 batches | lr 20.00 | ms/batch 28.16 | loss  5.61 | ppl   272.12
| epoch   1 |  4200/ 6526 batches | lr 20.00 | ms/batch 27.87 | loss  5.58 | ppl   265.45
| epoch   1 |  4400/ 6526 batches | lr 20.00 | ms/batch 28.75 | loss  5.55 | ppl   256.69
| epoch   1 |  4600/ 6526 batches | lr 20.00 | ms/batch 27.95 | loss  5.54 | ppl   254.07
| epoch   1 |  4800/ 6526 batches | lr 20.00 | ms/batch 27.89 | loss  5.44 | ppl   231.56
| epoch   1 |  5000/ 6526 batches | lr 20.00 | ms/batch 28.45 | loss  5.45 | ppl   232.06
| epoch   1 |  5200/ 6526 batches | lr 20.00 | ms/batch 27.81 | loss  5.55 | ppl   256.94
| epoch   1 |  5400/ 6526 batches | lr 20.00 | ms/batch 27.86 | loss  5.49 | ppl   241.17
| epoch   1 |  5600/ 6526 batches | lr 20.00 | ms/batch 27.82 | loss  5.50 | ppl   244.13
| epoch   1 |  5800/ 6526 batches | lr 20.00 | ms/batch 27.70 | loss  5.52 | ppl   250.19
| epoch   1 |  6000/ 6526 batches | lr 20.00 | ms/batch 28.90 | loss  5.36 | ppl   213.54
| epoch   1 |  6200/ 6526 batches | lr 20.00 | ms/batch 28.54 | loss  5.39 | ppl   219.02
| epoch   1 |  6400/ 6526 batches | lr 20.00 | ms/batch 28.24 | loss  5.35 | ppl   210.40
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 189.20s | valid loss  5.45 | valid ppl   232.71
-----------------------------------------------------------------------------------------
| epoch   2 |   200/ 6526 batches | lr 20.00 | ms/batch 28.51 | loss  5.41 | ppl   224.68
| epoch   2 |   400/ 6526 batches | lr 20.00 | ms/batch 28.06 | loss  5.40 | ppl   222.17
| epoch   2 |   600/ 6526 batches | lr 20.00 | ms/batch 28.21 | loss  5.36 | ppl   212.74
| epoch   2 |   800/ 6526 batches | lr 20.00 | ms/batch 28.36 | loss  5.44 | ppl   230.77
| epoch   2 |  1000/ 6526 batches | lr 20.00 | ms/batch 28.08 | loss  5.31 | ppl   202.34
| epoch   2 |  1200/ 6526 batches | lr 20.00 | ms/batch 28.54 | loss  5.27 | ppl   193.45
| epoch   2 |  1400/ 6526 batches | lr 20.00 | ms/batch 28.43 | loss  5.14 | ppl   170.52
| epoch   2 |  1600/ 6526 batches | lr 20.00 | ms/batch 28.30 | loss  5.23 | ppl   186.00
| epoch   2 |  1800/ 6526 batches | lr 20.00 | ms/batch 28.68 | loss  5.27 | ppl   194.82
| epoch   2 |  2000/ 6526 batches | lr 20.00 | ms/batch 28.40 | loss  5.22 | ppl   185.38
| epoch   2 |  2200/ 6526 batches | lr 20.00 | ms/batch 28.74 | loss  5.21 | ppl   182.75
| epoch   2 |  2400/ 6526 batches | lr 20.00 | ms/batch 28.90 | loss  5.20 | ppl   181.10
| epoch   2 |  2600/ 6526 batches | lr 20.00 | ms/batch 28.81 | loss  5.22 | ppl   185.31
| epoch   2 |  2800/ 6526 batches | lr 20.00 | ms/batch 28.50 | loss  5.28 | ppl   195.83
| epoch   2 |  3000/ 6526 batches | lr 20.00 | ms/batch 29.00 | loss  5.22 | ppl   185.56
| epoch   2 |  3200/ 6526 batches | lr 20.00 | ms/batch 29.35 | loss  5.22 | ppl   185.60
