python /home/drr342/dl/assignments/hw3/examples/word_language_model/main.py --data /home/drr342/dl/assignments/hw3/examples/word_language_model/data/wikitext-2 --save /home/drr342/dl/assignments/hw3/models/LSTM'_'200'_'2'_'16.pt --cuda --model LSTM --epochs 10 --emsize 200 --nlayers 2 --bptt 16

| epoch   1 |   200/ 6526 batches | lr 20.00 | ms/batch 26.89 | loss  7.67 | ppl  2144.16
| epoch   1 |   400/ 6526 batches | lr 20.00 | ms/batch 25.88 | loss  6.88 | ppl   975.27
| epoch   1 |   600/ 6526 batches | lr 20.00 | ms/batch 25.87 | loss  6.61 | ppl   739.07
| epoch   1 |   800/ 6526 batches | lr 20.00 | ms/batch 25.79 | loss  6.40 | ppl   601.83
| epoch   1 |  1000/ 6526 batches | lr 20.00 | ms/batch 25.82 | loss  6.24 | ppl   515.42
| epoch   1 |  1200/ 6526 batches | lr 20.00 | ms/batch 25.96 | loss  6.13 | ppl   458.06
| epoch   1 |  1400/ 6526 batches | lr 20.00 | ms/batch 26.01 | loss  5.99 | ppl   398.40
| epoch   1 |  1600/ 6526 batches | lr 20.00 | ms/batch 26.03 | loss  5.95 | ppl   384.84
| epoch   1 |  1800/ 6526 batches | lr 20.00 | ms/batch 25.91 | loss  5.93 | ppl   377.57
| epoch   1 |  2000/ 6526 batches | lr 20.00 | ms/batch 25.96 | loss  5.86 | ppl   349.53
| epoch   1 |  2200/ 6526 batches | lr 20.00 | ms/batch 26.06 | loss  5.84 | ppl   345.09
| epoch   1 |  2400/ 6526 batches | lr 20.00 | ms/batch 26.07 | loss  5.81 | ppl   332.98
| epoch   1 |  2600/ 6526 batches | lr 20.00 | ms/batch 26.06 | loss  5.77 | ppl   321.20
| epoch   1 |  2800/ 6526 batches | lr 20.00 | ms/batch 25.98 | loss  5.78 | ppl   323.75
| epoch   1 |  3000/ 6526 batches | lr 20.00 | ms/batch 25.95 | loss  5.72 | ppl   304.26
| epoch   1 |  3200/ 6526 batches | lr 20.00 | ms/batch 25.92 | loss  5.70 | ppl   299.77
| epoch   1 |  3400/ 6526 batches | lr 20.00 | ms/batch 25.87 | loss  5.78 | ppl   324.04
| epoch   1 |  3600/ 6526 batches | lr 20.00 | ms/batch 26.15 | loss  5.66 | ppl   288.20
| epoch   1 |  3800/ 6526 batches | lr 20.00 | ms/batch 26.04 | loss  5.60 | ppl   270.42
| epoch   1 |  4000/ 6526 batches | lr 20.00 | ms/batch 25.94 | loss  5.62 | ppl   274.99
| epoch   1 |  4200/ 6526 batches | lr 20.00 | ms/batch 26.01 | loss  5.60 | ppl   269.30
| epoch   1 |  4400/ 6526 batches | lr 20.00 | ms/batch 25.99 | loss  5.56 | ppl   259.77
| epoch   1 |  4600/ 6526 batches | lr 20.00 | ms/batch 26.04 | loss  5.55 | ppl   256.44
| epoch   1 |  4800/ 6526 batches | lr 20.00 | ms/batch 26.00 | loss  5.44 | ppl   231.43
| epoch   1 |  5000/ 6526 batches | lr 20.00 | ms/batch 26.03 | loss  5.46 | ppl   235.43
| epoch   1 |  5200/ 6526 batches | lr 20.00 | ms/batch 25.93 | loss  5.56 | ppl   258.69
| epoch   1 |  5400/ 6526 batches | lr 20.00 | ms/batch 25.99 | loss  5.49 | ppl   243.35
| epoch   1 |  5600/ 6526 batches | lr 20.00 | ms/batch 25.92 | loss  5.52 | ppl   249.07
| epoch   1 |  5800/ 6526 batches | lr 20.00 | ms/batch 25.88 | loss  5.54 | ppl   255.05
| epoch   1 |  6000/ 6526 batches | lr 20.00 | ms/batch 26.02 | loss  5.37 | ppl   215.25
| epoch   1 |  6200/ 6526 batches | lr 20.00 | ms/batch 26.02 | loss  5.40 | ppl   221.34
| epoch   1 |  6400/ 6526 batches | lr 20.00 | ms/batch 26.20 | loss  5.35 | ppl   210.64
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 176.21s | valid loss  5.45 | valid ppl   231.88
-----------------------------------------------------------------------------------------
| epoch   2 |   200/ 6526 batches | lr 20.00 | ms/batch 26.26 | loss  5.43 | ppl   228.36
| epoch   2 |   400/ 6526 batches | lr 20.00 | ms/batch 26.19 | loss  5.41 | ppl   223.70
| epoch   2 |   600/ 6526 batches | lr 20.00 | ms/batch 26.25 | loss  5.37 | ppl   215.59
| epoch   2 |   800/ 6526 batches | lr 20.00 | ms/batch 26.11 | loss  5.45 | ppl   233.26
| epoch   2 |  1000/ 6526 batches | lr 20.00 | ms/batch 26.72 | loss  5.33 | ppl   205.59
| epoch   2 |  1200/ 6526 batches | lr 20.00 | ms/batch 26.31 | loss  5.28 | ppl   196.76
| epoch   2 |  1400/ 6526 batches | lr 20.00 | ms/batch 26.27 | loss  5.16 | ppl   173.94
| epoch   2 |  1600/ 6526 batches | lr 20.00 | ms/batch 26.43 | loss  5.24 | ppl   188.91
| epoch   2 |  1800/ 6526 batches | lr 20.00 | ms/batch 26.60 | loss  5.29 | ppl   198.07
| epoch   2 |  2000/ 6526 batches | lr 20.00 | ms/batch 26.21 | loss  5.25 | ppl   189.74
| epoch   2 |  2200/ 6526 batches | lr 20.00 | ms/batch 26.46 | loss  5.23 | ppl   186.95
| epoch   2 |  2400/ 6526 batches | lr 20.00 | ms/batch 26.57 | loss  5.21 | ppl   182.29
| epoch   2 |  2600/ 6526 batches | lr 20.00 | ms/batch 26.28 | loss  5.24 | ppl   187.76
| epoch   2 |  2800/ 6526 batches | lr 20.00 | ms/batch 26.92 | loss  5.30 | ppl   199.55
| epoch   2 |  3000/ 6526 batches | lr 20.00 | ms/batch 26.64 | loss  5.22 | ppl   185.81
| epoch   2 |  3200/ 6526 batches | lr 20.00 | ms/batch 26.96 | loss  5.24 | ppl   187.86
| epoch   2 |  3400/ 6526 batches | lr 20.00 | ms/batch 26.46 | loss  5.35 | ppl   210.67
| epoch   2 |  3600/ 6526 batches | lr 20.00 | ms/batch 26.13 | loss  5.22 | ppl   185.19
| epoch   2 |  3800/ 6526 batches | lr 20.00 | ms/batch 26.46 | loss  5.17 | ppl   176.75
| epoch   2 |  4000/ 6526 batches | lr 20.00 | ms/batch 26.69 | loss  5.21 | ppl   183.02
| epoch   2 |  4200/ 6526 batches | lr 20.00 | ms/batch 26.82 | loss  5.20 | ppl   181.39
| epoch   2 |  4400/ 6526 batches | lr 20.00 | ms/batch 26.53 | loss  5.18 | ppl   178.39
| epoch   2 |  4600/ 6526 batches | lr 20.00 | ms/batch 25.87 | loss  5.15 | ppl   171.74
| epoch   2 |  4800/ 6526 batches | lr 20.00 | ms/batch 26.12 | loss  5.07 | ppl   159.56
| epoch   2 |  5000/ 6526 batches | lr 20.00 | ms/batch 26.57 | loss  5.08 | ppl   161.13
| epoch   2 |  5200/ 6526 batches | lr 20.00 | ms/batch 26.58 | loss  5.19 | ppl   180.04
| epoch   2 |  5400/ 6526 batches | lr 20.00 | ms/batch 26.64 | loss  5.12 | ppl   167.07
| epoch   2 |  5600/ 6526 batches | lr 20.00 | ms/batch 26.59 | loss  5.16 | ppl   174.61
| epoch   2 |  5800/ 6526 batches | lr 20.00 | ms/batch 26.60 | loss  5.22 | ppl   185.29
| epoch   2 |  6000/ 6526 batches | lr 20.00 | ms/batch 26.89 | loss  5.03 | ppl   153.56
| epoch   2 |  6200/ 6526 batches | lr 20.00 | ms/batch 26.70 | loss  5.06 | ppl   156.87
| epoch   2 |  6400/ 6526 batches | lr 20.00 | ms/batch 26.57 | loss  5.03 | ppl   153.21
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 179.32s | valid loss  5.29 | valid ppl   198.35
-----------------------------------------------------------------------------------------
| epoch   3 |   200/ 6526 batches | lr 20.00 | ms/batch 26.69 | loss  5.13 | ppl   169.31
| epoch   3 |   400/ 6526 batches | lr 20.00 | ms/batch 26.52 | loss  5.13 | ppl   168.35
| epoch   3 |   600/ 6526 batches | lr 20.00 | ms/batch 25.89 | loss  5.10 | ppl   163.53
| epoch   3 |   800/ 6526 batches | lr 20.00 | ms/batch 27.03 | loss  5.19 | ppl   178.81
| epoch   3 |  1000/ 6526 batches | lr 20.00 | ms/batch 26.34 | loss  5.06 | ppl   157.44
| epoch   3 |  1200/ 6526 batches | lr 20.00 | ms/batch 26.00 | loss  5.01 | ppl   150.55
| epoch   3 |  1400/ 6526 batches | lr 20.00 | ms/batch 26.60 | loss  4.91 | ppl   135.67
| epoch   3 |  1600/ 6526 batches | lr 20.00 | ms/batch 26.83 | loss  5.01 | ppl   150.24
| epoch   3 |  1800/ 6526 batches | lr 20.00 | ms/batch 26.16 | loss  5.07 | ppl   159.00
| epoch   3 |  2000/ 6526 batches | lr 20.00 | ms/batch 27.34 | loss  5.03 | ppl   152.48
| epoch   3 |  2200/ 6526 batches | lr 20.00 | ms/batch 27.34 | loss  5.00 | ppl   148.92
| epoch   3 |  2400/ 6526 batches | lr 20.00 | ms/batch 27.25 | loss  5.00 | ppl   148.91
