python /home/drr342/dl/assignments/hw3/examples/word_language_model/main.py --data /home/drr342/dl/assignments/hw3/examples/word_language_model/data/wikitext-2 --save /home/drr342/dl/assignments/hw3/models/GRU'_'400'_'2'_'16.pt --cuda --model GRU --epochs 10 --emsize 400 --nlayers 2 --bptt 16

| epoch   1 |   200/ 6526 batches | lr 20.00 | ms/batch 27.63 | loss  9.07 | ppl  8729.84
| epoch   1 |   400/ 6526 batches | lr 20.00 | ms/batch 26.79 | loss  7.22 | ppl  1371.34
| epoch   1 |   600/ 6526 batches | lr 20.00 | ms/batch 26.83 | loss  6.72 | ppl   831.84
| epoch   1 |   800/ 6526 batches | lr 20.00 | ms/batch 26.83 | loss  6.50 | ppl   662.28
| epoch   1 |  1000/ 6526 batches | lr 20.00 | ms/batch 26.88 | loss  6.32 | ppl   553.57
| epoch   1 |  1200/ 6526 batches | lr 20.00 | ms/batch 26.88 | loss  6.20 | ppl   494.33
| epoch   1 |  1400/ 6526 batches | lr 20.00 | ms/batch 26.91 | loss  6.03 | ppl   414.73
| epoch   1 |  1600/ 6526 batches | lr 20.00 | ms/batch 26.94 | loss  6.02 | ppl   411.69
| epoch   1 |  1800/ 6526 batches | lr 20.00 | ms/batch 26.99 | loss  6.03 | ppl   416.32
| epoch   1 |  2000/ 6526 batches | lr 20.00 | ms/batch 26.98 | loss  5.98 | ppl   395.49
| epoch   1 |  2200/ 6526 batches | lr 20.00 | ms/batch 26.99 | loss  5.96 | ppl   389.06
| epoch   1 |  2400/ 6526 batches | lr 20.00 | ms/batch 27.01 | loss  5.93 | ppl   377.08
| epoch   1 |  2600/ 6526 batches | lr 20.00 | ms/batch 27.02 | loss  5.94 | ppl   378.18
| epoch   1 |  2800/ 6526 batches | lr 20.00 | ms/batch 27.04 | loss  5.95 | ppl   383.22
| epoch   1 |  3000/ 6526 batches | lr 20.00 | ms/batch 27.01 | loss  5.90 | ppl   364.60
| epoch   1 |  3200/ 6526 batches | lr 20.00 | ms/batch 27.06 | loss  5.89 | ppl   362.99
| epoch   1 |  3400/ 6526 batches | lr 20.00 | ms/batch 27.06 | loss  5.99 | ppl   399.21
| epoch   1 |  3600/ 6526 batches | lr 20.00 | ms/batch 27.09 | loss  5.90 | ppl   364.26
| epoch   1 |  3800/ 6526 batches | lr 20.00 | ms/batch 27.07 | loss  5.83 | ppl   341.31
| epoch   1 |  4000/ 6526 batches | lr 20.00 | ms/batch 27.08 | loss  5.89 | ppl   360.79
| epoch   1 |  4200/ 6526 batches | lr 20.00 | ms/batch 27.09 | loss  5.89 | ppl   361.13
| epoch   1 |  4400/ 6526 batches | lr 20.00 | ms/batch 27.05 | loss  5.87 | ppl   355.16
| epoch   1 |  4600/ 6526 batches | lr 20.00 | ms/batch 27.06 | loss  5.87 | ppl   354.35
| epoch   1 |  4800/ 6526 batches | lr 20.00 | ms/batch 27.07 | loss  5.82 | ppl   336.32
| epoch   1 |  5000/ 6526 batches | lr 20.00 | ms/batch 27.06 | loss  5.89 | ppl   360.36
| epoch   1 |  5200/ 6526 batches | lr 20.00 | ms/batch 27.11 | loss  6.03 | ppl   417.48
| epoch   1 |  5400/ 6526 batches | lr 20.00 | ms/batch 27.11 | loss  6.08 | ppl   436.68
| epoch   1 |  5600/ 6526 batches | lr 20.00 | ms/batch 27.11 | loss  6.17 | ppl   478.61
| epoch   1 |  5800/ 6526 batches | lr 20.00 | ms/batch 27.11 | loss  6.24 | ppl   513.34
| epoch   1 |  6000/ 6526 batches | lr 20.00 | ms/batch 27.14 | loss  6.17 | ppl   479.43
| epoch   1 |  6200/ 6526 batches | lr 20.00 | ms/batch 27.11 | loss  6.19 | ppl   489.37
| epoch   1 |  6400/ 6526 batches | lr 20.00 | ms/batch 27.12 | loss  6.16 | ppl   474.65
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 183.26s | valid loss  6.01 | valid ppl   406.66
-----------------------------------------------------------------------------------------
| epoch   2 |   200/ 6526 batches | lr 20.00 | ms/batch 27.92 | loss  6.22 | ppl   501.49
| epoch   2 |   400/ 6526 batches | lr 20.00 | ms/batch 27.71 | loss  6.18 | ppl   481.04
| epoch   2 |   600/ 6526 batches | lr 20.00 | ms/batch 27.72 | loss  6.16 | ppl   472.36
| epoch   2 |   800/ 6526 batches | lr 20.00 | ms/batch 27.76 | loss  6.21 | ppl   498.09
| epoch   2 |  1000/ 6526 batches | lr 20.00 | ms/batch 27.90 | loss  6.13 | ppl   459.81
| epoch   2 |  1200/ 6526 batches | lr 20.00 | ms/batch 27.86 | loss  6.08 | ppl   437.59
| epoch   2 |  1400/ 6526 batches | lr 20.00 | ms/batch 27.89 | loss  5.99 | ppl   398.51
| epoch   2 |  1600/ 6526 batches | lr 20.00 | ms/batch 27.83 | loss  6.06 | ppl   427.55
| epoch   2 |  1800/ 6526 batches | lr 20.00 | ms/batch 27.84 | loss  6.11 | ppl   452.24
| epoch   2 |  2000/ 6526 batches | lr 20.00 | ms/batch 27.89 | loss  6.09 | ppl   440.26
| epoch   2 |  2200/ 6526 batches | lr 20.00 | ms/batch 27.85 | loss  6.09 | ppl   441.57
| epoch   2 |  2400/ 6526 batches | lr 20.00 | ms/batch 27.86 | loss  6.06 | ppl   430.16
| epoch   2 |  2600/ 6526 batches | lr 20.00 | ms/batch 27.87 | loss  6.09 | ppl   440.63
| epoch   2 |  2800/ 6526 batches | lr 20.00 | ms/batch 27.88 | loss  6.17 | ppl   475.90
| epoch   2 |  3000/ 6526 batches | lr 20.00 | ms/batch 27.84 | loss  6.12 | ppl   457.01
| epoch   2 |  3200/ 6526 batches | lr 20.00 | ms/batch 27.86 | loss  6.11 | ppl   450.36
| epoch   2 |  3400/ 6526 batches | lr 20.00 | ms/batch 27.88 | loss  6.20 | ppl   493.44
| epoch   2 |  3600/ 6526 batches | lr 20.00 | ms/batch 27.82 | loss  6.13 | ppl   460.82
| epoch   2 |  3800/ 6526 batches | lr 20.00 | ms/batch 27.90 | loss  6.09 | ppl   441.15
| epoch   2 |  4000/ 6526 batches | lr 20.00 | ms/batch 27.87 | loss  6.14 | ppl   463.40
| epoch   2 |  4200/ 6526 batches | lr 20.00 | ms/batch 27.85 | loss  6.16 | ppl   471.64
| epoch   2 |  4400/ 6526 batches | lr 20.00 | ms/batch 27.85 | loss  6.12 | ppl   454.12
| epoch   2 |  4600/ 6526 batches | lr 20.00 | ms/batch 27.85 | loss  6.13 | ppl   460.10
