python /home/drr342/dl/assignments/hw3/examples/word_language_model/main.py --data /home/drr342/dl/assignments/hw3/examples/word_language_model/data/wikitext-2 --save /home/drr342/dl/assignments/hw3/models/GRU'_'200'_'4'_'16.pt --cuda --model GRU --epochs 10 --emsize 200 --nlayers 4 --bptt 16

| epoch   1 |   200/ 6526 batches | lr 20.00 | ms/batch 36.28 | loss 12.10 | ppl 180172.13
| epoch   1 |   400/ 6526 batches | lr 20.00 | ms/batch 35.43 | loss  9.13 | ppl  9272.48
| epoch   1 |   600/ 6526 batches | lr 20.00 | ms/batch 35.42 | loss  7.89 | ppl  2674.85
| epoch   1 |   800/ 6526 batches | lr 20.00 | ms/batch 35.43 | loss  7.35 | ppl  1548.72
| epoch   1 |  1000/ 6526 batches | lr 20.00 | ms/batch 35.40 | loss  6.92 | ppl  1009.75
| epoch   1 |  1200/ 6526 batches | lr 20.00 | ms/batch 35.42 | loss  6.70 | ppl   811.39
| epoch   1 |  1400/ 6526 batches | lr 20.00 | ms/batch 35.45 | loss  6.53 | ppl   688.79
| epoch   1 |  1600/ 6526 batches | lr 20.00 | ms/batch 35.41 | loss  6.52 | ppl   681.59
| epoch   1 |  1800/ 6526 batches | lr 20.00 | ms/batch 35.46 | loss  6.55 | ppl   696.51
| epoch   1 |  2000/ 6526 batches | lr 20.00 | ms/batch 35.41 | loss  6.53 | ppl   682.65
| epoch   1 |  2200/ 6526 batches | lr 20.00 | ms/batch 35.44 | loss  6.56 | ppl   706.02
| epoch   1 |  2400/ 6526 batches | lr 20.00 | ms/batch 35.46 | loss  6.59 | ppl   725.20
| epoch   1 |  2600/ 6526 batches | lr 20.00 | ms/batch 35.53 | loss  6.60 | ppl   734.67
| epoch   1 |  2800/ 6526 batches | lr 20.00 | ms/batch 35.53 | loss  6.60 | ppl   736.76
| epoch   1 |  3000/ 6526 batches | lr 20.00 | ms/batch 35.53 | loss  6.57 | ppl   710.46
| epoch   1 |  3200/ 6526 batches | lr 20.00 | ms/batch 35.97 | loss  6.56 | ppl   709.28
| epoch   1 |  3400/ 6526 batches | lr 20.00 | ms/batch 35.54 | loss  6.64 | ppl   767.59
| epoch   1 |  3600/ 6526 batches | lr 20.00 | ms/batch 35.59 | loss  6.62 | ppl   753.17
| epoch   1 |  3800/ 6526 batches | lr 20.00 | ms/batch 35.58 | loss  6.58 | ppl   718.33
| epoch   1 |  4000/ 6526 batches | lr 20.00 | ms/batch 35.54 | loss  6.56 | ppl   705.22
| epoch   1 |  4200/ 6526 batches | lr 20.00 | ms/batch 35.56 | loss  6.57 | ppl   715.55
| epoch   1 |  4400/ 6526 batches | lr 20.00 | ms/batch 35.52 | loss  6.55 | ppl   699.73
| epoch   1 |  4600/ 6526 batches | lr 20.00 | ms/batch 35.57 | loss  6.57 | ppl   710.23
| epoch   1 |  4800/ 6526 batches | lr 20.00 | ms/batch 35.58 | loss  6.48 | ppl   648.89
| epoch   1 |  5000/ 6526 batches | lr 20.00 | ms/batch 36.05 | loss  6.51 | ppl   674.03
| epoch   1 |  5200/ 6526 batches | lr 20.00 | ms/batch 35.55 | loss  6.56 | ppl   707.84
| epoch   1 |  5400/ 6526 batches | lr 20.00 | ms/batch 35.53 | loss  6.56 | ppl   708.89
| epoch   1 |  5600/ 6526 batches | lr 20.00 | ms/batch 35.94 | loss  6.55 | ppl   700.03
| epoch   1 |  5800/ 6526 batches | lr 20.00 | ms/batch 35.40 | loss  6.50 | ppl   664.22
| epoch   1 |  6000/ 6526 batches | lr 20.00 | ms/batch 35.55 | loss  6.44 | ppl   628.41
| epoch   1 |  6200/ 6526 batches | lr 20.00 | ms/batch 35.55 | loss  6.48 | ppl   652.72
| epoch   1 |  6400/ 6526 batches | lr 20.00 | ms/batch 36.33 | loss  6.45 | ppl   629.80
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 240.55s | valid loss  6.38 | valid ppl   588.22
-----------------------------------------------------------------------------------------
| epoch   2 |   200/ 6526 batches | lr 20.00 | ms/batch 36.82 | loss  6.52 | ppl   679.69
| epoch   2 |   400/ 6526 batches | lr 20.00 | ms/batch 36.72 | loss  6.47 | ppl   646.16
| epoch   2 |   600/ 6526 batches | lr 20.00 | ms/batch 36.72 | loss  6.48 | ppl   652.61
| epoch   2 |   800/ 6526 batches | lr 20.00 | ms/batch 36.72 | loss  6.55 | ppl   695.93
| epoch   2 |  1000/ 6526 batches | lr 20.00 | ms/batch 36.69 | loss  6.50 | ppl   667.68
| epoch   2 |  1200/ 6526 batches | lr 20.00 | ms/batch 36.67 | loss  6.49 | ppl   659.24
| epoch   2 |  1400/ 6526 batches | lr 20.00 | ms/batch 36.70 | loss  6.42 | ppl   615.36
| epoch   2 |  1600/ 6526 batches | lr 20.00 | ms/batch 36.74 | loss  6.45 | ppl   630.07
| epoch   2 |  1800/ 6526 batches | lr 20.00 | ms/batch 36.65 | loss  6.47 | ppl   643.56
| epoch   2 |  2000/ 6526 batches | lr 20.00 | ms/batch 36.73 | loss  6.51 | ppl   668.87
| epoch   2 |  2200/ 6526 batches | lr 20.00 | ms/batch 36.70 | loss  6.49 | ppl   661.78
| epoch   2 |  2400/ 6526 batches | lr 20.00 | ms/batch 36.67 | loss  6.53 | ppl   684.06
| epoch   2 |  2600/ 6526 batches | lr 20.00 | ms/batch 36.76 | loss  6.64 | ppl   764.38
| epoch   2 |  2800/ 6526 batches | lr 20.00 | ms/batch 36.69 | loss  6.56 | ppl   709.81
| epoch   2 |  3000/ 6526 batches | lr 20.00 | ms/batch 36.69 | loss  6.53 | ppl   687.71
| epoch   2 |  3200/ 6526 batches | lr 20.00 | ms/batch 36.73 | loss  6.51 | ppl   674.12
| epoch   2 |  3400/ 6526 batches | lr 20.00 | ms/batch 36.70 | loss  6.56 | ppl   708.66
| epoch   2 |  3600/ 6526 batches | lr 20.00 | ms/batch 36.64 | loss  6.55 | ppl   697.78
| epoch   2 |  3800/ 6526 batches | lr 20.00 | ms/batch 36.72 | loss  6.53 | ppl   684.25
| epoch   2 |  4000/ 6526 batches | lr 20.00 | ms/batch 36.71 | loss  6.52 | ppl   679.89
| epoch   2 |  4200/ 6526 batches | lr 20.00 | ms/batch 36.73 | loss  6.52 | ppl   678.78
| epoch   2 |  4400/ 6526 batches | lr 20.00 | ms/batch 36.68 | loss  6.49 | ppl   656.88
| epoch   2 |  4600/ 6526 batches | lr 20.00 | ms/batch 36.68 | loss  6.45 | ppl   631.53
| epoch   2 |  4800/ 6526 batches | lr 20.00 | ms/batch 37.11 | loss  6.35 | ppl   572.07
| epoch   2 |  5000/ 6526 batches | lr 20.00 | ms/batch 36.72 | loss  6.38 | ppl   590.75
| epoch   2 |  5200/ 6526 batches | lr 20.00 | ms/batch 36.72 | loss  6.44 | ppl   624.83
| epoch   2 |  5400/ 6526 batches | lr 20.00 | ms/batch 36.69 | loss  6.44 | ppl   628.41
| epoch   2 |  5600/ 6526 batches | lr 20.00 | ms/batch 36.50 | loss  6.45 | ppl   634.89
| epoch   2 |  5800/ 6526 batches | lr 20.00 | ms/batch 36.49 | loss  6.48 | ppl   652.07
| epoch   2 |  6000/ 6526 batches | lr 20.00 | ms/batch 36.62 | loss  6.41 | ppl   610.43
| epoch   2 |  6200/ 6526 batches | lr 20.00 | ms/batch 36.60 | loss  6.46 | ppl   640.86
| epoch   2 |  6400/ 6526 batches | lr 20.00 | ms/batch 36.68 | loss  6.46 | ppl   639.39
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 247.70s | valid loss  6.48 | valid ppl   654.64
-----------------------------------------------------------------------------------------
| epoch   3 |   200/ 6526 batches | lr 5.00 | ms/batch 36.87 | loss  6.36 | ppl   579.51
| epoch   3 |   400/ 6526 batches | lr 5.00 | ms/batch 36.67 | loss  6.30 | ppl   545.85
| epoch   3 |   600/ 6526 batches | lr 5.00 | ms/batch 36.74 | loss  6.27 | ppl   529.88
| epoch   3 |   800/ 6526 batches | lr 5.00 | ms/batch 36.68 | loss  6.29 | ppl   539.64
