python /home/drr342/dl/assignments/hw3/examples/word_language_model/main.py --data /home/drr342/dl/assignments/hw3/examples/word_language_model/data/wikitext-2 --save /home/drr342/dl/assignments/hw3/models/LSTM'_'100'_'4'_'16.pt --cuda --model LSTM --epochs 10 --emsize 100 --nlayers 4 --bptt 16

| epoch   1 |   200/ 6526 batches | lr 20.00 | ms/batch 38.26 | loss  7.77 | ppl  2365.26
| epoch   1 |   400/ 6526 batches | lr 20.00 | ms/batch 37.12 | loss  7.28 | ppl  1451.58
| epoch   1 |   600/ 6526 batches | lr 20.00 | ms/batch 37.10 | loss  7.22 | ppl  1361.99
| epoch   1 |   800/ 6526 batches | lr 20.00 | ms/batch 37.09 | loss  7.15 | ppl  1279.73
| epoch   1 |  1000/ 6526 batches | lr 20.00 | ms/batch 37.09 | loss  7.14 | ppl  1258.73
| epoch   1 |  1200/ 6526 batches | lr 20.00 | ms/batch 37.06 | loss  7.13 | ppl  1249.38
| epoch   1 |  1400/ 6526 batches | lr 20.00 | ms/batch 37.06 | loss  7.10 | ppl  1217.40
| epoch   1 |  1600/ 6526 batches | lr 20.00 | ms/batch 37.10 | loss  7.10 | ppl  1207.66
| epoch   1 |  1800/ 6526 batches | lr 20.00 | ms/batch 37.05 | loss  7.10 | ppl  1217.22
| epoch   1 |  2000/ 6526 batches | lr 20.00 | ms/batch 37.02 | loss  7.10 | ppl  1215.20
| epoch   1 |  2200/ 6526 batches | lr 20.00 | ms/batch 37.12 | loss  6.97 | ppl  1068.32
| epoch   1 |  2400/ 6526 batches | lr 20.00 | ms/batch 37.17 | loss  6.74 | ppl   842.45
| epoch   1 |  2600/ 6526 batches | lr 20.00 | ms/batch 37.15 | loss  6.63 | ppl   759.76
| epoch   1 |  2800/ 6526 batches | lr 20.00 | ms/batch 37.11 | loss  6.54 | ppl   689.71
| epoch   1 |  3000/ 6526 batches | lr 20.00 | ms/batch 37.13 | loss  6.43 | ppl   622.77
| epoch   1 |  3200/ 6526 batches | lr 20.00 | ms/batch 37.10 | loss  6.36 | ppl   577.13
| epoch   1 |  3400/ 6526 batches | lr 20.00 | ms/batch 37.14 | loss  6.36 | ppl   579.57
| epoch   1 |  3600/ 6526 batches | lr 20.00 | ms/batch 37.19 | loss  6.27 | ppl   530.38
| epoch   1 |  3800/ 6526 batches | lr 20.00 | ms/batch 37.14 | loss  6.18 | ppl   480.62
| epoch   1 |  4000/ 6526 batches | lr 20.00 | ms/batch 37.19 | loss  6.15 | ppl   469.16
| epoch   1 |  4200/ 6526 batches | lr 20.00 | ms/batch 37.18 | loss  6.13 | ppl   457.25
| epoch   1 |  4400/ 6526 batches | lr 20.00 | ms/batch 37.14 | loss  6.06 | ppl   430.34
| epoch   1 |  4600/ 6526 batches | lr 20.00 | ms/batch 37.17 | loss  6.05 | ppl   423.54
| epoch   1 |  4800/ 6526 batches | lr 20.00 | ms/batch 37.17 | loss  5.93 | ppl   374.39
