python /home/drr342/dl/assignments/hw3/examples/word_language_model/main.py --data /home/drr342/dl/assignments/hw3/examples/word_language_model/data/wikitext-2 --save /home/drr342/dl/assignments/hw3/models/GRU'_'400'_'4'_'16.pt --cuda --model GRU --epochs 10 --emsize 400 --nlayers 4 --bptt 16

| epoch   2 |  4200/ 6526 batches | lr 20.00 | ms/batch 38.30 | loss 17.77 | ppl 52003633.80
| epoch   2 |  4400/ 6526 batches | lr 20.00 | ms/batch 38.28 | loss 18.10 | ppl 72645572.66
| epoch   2 |  4600/ 6526 batches | lr 20.00 | ms/batch 38.28 | loss 17.66 | ppl 46620383.52
| epoch   2 |  4800/ 6526 batches | lr 20.00 | ms/batch 38.31 | loss 17.58 | ppl 43297548.80
| epoch   2 |  5000/ 6526 batches | lr 20.00 | ms/batch 38.21 | loss 17.06 | ppl 25644156.05
| epoch   2 |  5200/ 6526 batches | lr 20.00 | ms/batch 38.24 | loss 17.62 | ppl 44762189.27
| epoch   2 |  5400/ 6526 batches | lr 20.00 | ms/batch 38.29 | loss 17.25 | ppl 31101685.43
| epoch   2 |  5600/ 6526 batches | lr 20.00 | ms/batch 38.33 | loss 17.09 | ppl 26461389.50
| epoch   2 |  5800/ 6526 batches | lr 20.00 | ms/batch 38.39 | loss 17.65 | ppl 46120004.46
| epoch   2 |  6000/ 6526 batches | lr 20.00 | ms/batch 38.34 | loss 17.60 | ppl 43863782.01
| epoch   2 |  6200/ 6526 batches | lr 20.00 | ms/batch 38.30 | loss 17.19 | ppl 29352806.87
| epoch   2 |  6400/ 6526 batches | lr 20.00 | ms/batch 38.32 | loss 17.79 | ppl 53466278.29
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 258.23s | valid loss 17.18 | valid ppl 29051090.13
-----------------------------------------------------------------------------------------
| epoch   3 |   200/ 6526 batches | lr 20.00 | ms/batch 38.60 | loss 16.99 | ppl 24025518.73
| epoch   3 |   400/ 6526 batches | lr 20.00 | ms/batch 38.40 | loss 16.94 | ppl 22696729.12
| epoch   3 |   600/ 6526 batches | lr 20.00 | ms/batch 38.34 | loss 17.59 | ppl 43486171.27
