python /home/drr342/dl/assignments/hw3/examples/word_language_model/main.py --data /home/drr342/dl/assignments/hw3/examples/word_language_model/data/wikitext-2 --save /home/drr342/dl/assignments/hw3/models/GRU'_'100'_'2'_'16.pt --cuda --model GRU --epochs 10 --emsize 100 --nlayers 2 --bptt 16

| epoch   1 |   200/ 6526 batches | lr 20.00 | ms/batch 24.56 | loss  9.04 | ppl  8443.98
| epoch   1 |   400/ 6526 batches | lr 20.00 | ms/batch 23.76 | loss  7.35 | ppl  1559.60
| epoch   1 |   600/ 6526 batches | lr 20.00 | ms/batch 23.76 | loss  6.83 | ppl   921.50
| epoch   1 |   800/ 6526 batches | lr 20.00 | ms/batch 23.78 | loss  6.57 | ppl   715.01
| epoch   1 |  1000/ 6526 batches | lr 20.00 | ms/batch 23.80 | loss  6.38 | ppl   588.15
| epoch   1 |  1200/ 6526 batches | lr 20.00 | ms/batch 23.80 | loss  6.25 | ppl   518.53
| epoch   1 |  1400/ 6526 batches | lr 20.00 | ms/batch 23.82 | loss  6.07 | ppl   432.38
| epoch   1 |  1600/ 6526 batches | lr 20.00 | ms/batch 23.85 | loss  6.06 | ppl   429.71
| epoch   1 |  1800/ 6526 batches | lr 20.00 | ms/batch 23.84 | loss  6.07 | ppl   434.80
| epoch   1 |  2000/ 6526 batches | lr 20.00 | ms/batch 23.85 | loss  6.02 | ppl   413.45
| epoch   1 |  2200/ 6526 batches | lr 20.00 | ms/batch 23.86 | loss  6.01 | ppl   408.61
| epoch   1 |  2400/ 6526 batches | lr 20.00 | ms/batch 23.85 | loss  5.98 | ppl   394.30
| epoch   1 |  2600/ 6526 batches | lr 20.00 | ms/batch 23.86 | loss  5.97 | ppl   392.19
| epoch   1 |  2800/ 6526 batches | lr 20.00 | ms/batch 23.88 | loss  5.98 | ppl   396.65
| epoch   1 |  3000/ 6526 batches | lr 20.00 | ms/batch 23.91 | loss  5.95 | ppl   383.06
| epoch   1 |  3200/ 6526 batches | lr 20.00 | ms/batch 23.87 | loss  5.94 | ppl   381.49
| epoch   1 |  3400/ 6526 batches | lr 20.00 | ms/batch 23.89 | loss  6.03 | ppl   417.14
| epoch   1 |  3600/ 6526 batches | lr 20.00 | ms/batch 23.89 | loss  5.95 | ppl   383.57
| epoch   1 |  3800/ 6526 batches | lr 20.00 | ms/batch 23.88 | loss  5.89 | ppl   361.52
| epoch   1 |  4000/ 6526 batches | lr 20.00 | ms/batch 23.91 | loss  5.93 | ppl   375.12
| epoch   1 |  4200/ 6526 batches | lr 20.00 | ms/batch 23.89 | loss  5.96 | ppl   386.74
| epoch   1 |  4400/ 6526 batches | lr 20.00 | ms/batch 23.90 | loss  5.94 | ppl   380.60
| epoch   1 |  4600/ 6526 batches | lr 20.00 | ms/batch 23.93 | loss  5.98 | ppl   394.80
| epoch   1 |  4800/ 6526 batches | lr 20.00 | ms/batch 23.92 | loss  5.97 | ppl   390.58
| epoch   1 |  5000/ 6526 batches | lr 20.00 | ms/batch 23.94 | loss  6.10 | ppl   444.71
| epoch   1 |  5200/ 6526 batches | lr 20.00 | ms/batch 23.90 | loss  6.30 | ppl   545.54
| epoch   1 |  5400/ 6526 batches | lr 20.00 | ms/batch 23.92 | loss  6.36 | ppl   576.71
| epoch   1 |  5600/ 6526 batches | lr 20.00 | ms/batch 23.91 | loss  6.37 | ppl   582.41
| epoch   1 |  5800/ 6526 batches | lr 20.00 | ms/batch 23.91 | loss  6.41 | ppl   608.16
| epoch   1 |  6000/ 6526 batches | lr 20.00 | ms/batch 23.91 | loss  6.33 | ppl   561.19
| epoch   1 |  6200/ 6526 batches | lr 20.00 | ms/batch 23.91 | loss  6.33 | ppl   563.50
| epoch   1 |  6400/ 6526 batches | lr 20.00 | ms/batch 23.90 | loss  6.33 | ppl   562.86
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 162.43s | valid loss  6.11 | valid ppl   452.39
-----------------------------------------------------------------------------------------
| epoch   2 |   200/ 6526 batches | lr 20.00 | ms/batch 24.70 | loss  6.34 | ppl   566.28
| epoch   2 |   400/ 6526 batches | lr 20.00 | ms/batch 24.54 | loss  6.28 | ppl   533.85
| epoch   2 |   600/ 6526 batches | lr 20.00 | ms/batch 24.55 | loss  6.25 | ppl   518.25
| epoch   2 |   800/ 6526 batches | lr 20.00 | ms/batch 24.55 | loss  6.31 | ppl   547.61
| epoch   2 |  1000/ 6526 batches | lr 20.00 | ms/batch 24.56 | loss  6.21 | ppl   498.90
| epoch   2 |  1200/ 6526 batches | lr 20.00 | ms/batch 24.56 | loss  6.19 | ppl   486.21
| epoch   2 |  1400/ 6526 batches | lr 20.00 | ms/batch 24.56 | loss  6.10 | ppl   445.22
| epoch   2 |  1600/ 6526 batches | lr 20.00 | ms/batch 24.56 | loss  6.15 | ppl   467.09
| epoch   2 |  1800/ 6526 batches | lr 20.00 | ms/batch 24.58 | loss  6.22 | ppl   504.11
| epoch   2 |  2000/ 6526 batches | lr 20.00 | ms/batch 24.56 | loss  6.18 | ppl   480.87
| epoch   2 |  2200/ 6526 batches | lr 20.00 | ms/batch 24.56 | loss  6.18 | ppl   481.08
| epoch   2 |  2400/ 6526 batches | lr 20.00 | ms/batch 24.57 | loss  6.17 | ppl   480.07
| epoch   2 |  2600/ 6526 batches | lr 20.00 | ms/batch 24.56 | loss  6.19 | ppl   485.57
| epoch   2 |  2800/ 6526 batches | lr 20.00 | ms/batch 24.56 | loss  6.27 | ppl   530.69
| epoch   2 |  3000/ 6526 batches | lr 20.00 | ms/batch 24.55 | loss  6.22 | ppl   501.83
| epoch   2 |  3200/ 6526 batches | lr 20.00 | ms/batch 24.53 | loss  6.22 | ppl   504.33
| epoch   2 |  3400/ 6526 batches | lr 20.00 | ms/batch 24.57 | loss  6.32 | ppl   553.86
| epoch   2 |  3600/ 6526 batches | lr 20.00 | ms/batch 24.57 | loss  6.23 | ppl   507.24
| epoch   2 |  3800/ 6526 batches | lr 20.00 | ms/batch 24.57 | loss  6.18 | ppl   484.36
| epoch   2 |  4000/ 6526 batches | lr 20.00 | ms/batch 24.58 | loss  6.21 | ppl   496.41
| epoch   2 |  4200/ 6526 batches | lr 20.00 | ms/batch 24.57 | loss  6.24 | ppl   511.84
| epoch   2 |  4400/ 6526 batches | lr 20.00 | ms/batch 24.56 | loss  6.21 | ppl   498.84
| epoch   2 |  4600/ 6526 batches | lr 20.00 | ms/batch 24.56 | loss  6.22 | ppl   500.25
| epoch   2 |  4800/ 6526 batches | lr 20.00 | ms/batch 24.57 | loss  6.13 | ppl   460.78
