python /home/drr342/dl/assignments/hw3/examples/word_language_model/main.py --data /home/drr342/dl/assignments/hw3/examples/word_language_model/data/wikitext-2 --save /home/drr342/dl/assignments/hw3/models/GRU'_'100'_'4'_'16.pt --cuda --model GRU --epochs 10 --emsize 100 --nlayers 4 --bptt 16

| epoch   1 |   200/ 6526 batches | lr 20.00 | ms/batch 35.68 | loss 14.94 | ppl 3082550.44
| epoch   1 |   400/ 6526 batches | lr 20.00 | ms/batch 34.73 | loss 17.63 | ppl 45533818.38
| epoch   1 |   600/ 6526 batches | lr 20.00 | ms/batch 34.71 | loss 17.38 | ppl 35221068.34
| epoch   1 |   800/ 6526 batches | lr 20.00 | ms/batch 34.73 | loss 17.73 | ppl 50205120.60
| epoch   1 |  1000/ 6526 batches | lr 20.00 | ms/batch 34.72 | loss 17.12 | ppl 27275539.61
| epoch   1 |  1200/ 6526 batches | lr 20.00 | ms/batch 34.67 | loss 17.24 | ppl 30793201.09
| epoch   1 |  1400/ 6526 batches | lr 20.00 | ms/batch 34.68 | loss 16.19 | ppl 10775402.74
| epoch   1 |  1600/ 6526 batches | lr 20.00 | ms/batch 34.73 | loss 17.11 | ppl 27021898.88
| epoch   1 |  1800/ 6526 batches | lr 20.00 | ms/batch 34.79 | loss 17.28 | ppl 31986584.73
| epoch   1 |  2000/ 6526 batches | lr 20.00 | ms/batch 34.75 | loss 16.94 | ppl 22743791.52
| epoch   1 |  2200/ 6526 batches | lr 20.00 | ms/batch 34.77 | loss 17.39 | ppl 35569022.23
| epoch   1 |  2400/ 6526 batches | lr 20.00 | ms/batch 34.77 | loss 17.58 | ppl 43043655.21
| epoch   1 |  2600/ 6526 batches | lr 20.00 | ms/batch 34.74 | loss 18.09 | ppl 71611918.29
| epoch   1 |  2800/ 6526 batches | lr 20.00 | ms/batch 34.74 | loss 17.67 | ppl 47100221.53
| epoch   1 |  3000/ 6526 batches | lr 20.00 | ms/batch 34.78 | loss 17.34 | ppl 34088812.00
| epoch   1 |  3200/ 6526 batches | lr 20.00 | ms/batch 34.78 | loss 17.83 | ppl 55355039.68
| epoch   1 |  3400/ 6526 batches | lr 20.00 | ms/batch 34.75 | loss 18.36 | ppl 93926781.22
| epoch   1 |  3600/ 6526 batches | lr 20.00 | ms/batch 34.76 | loss 17.31 | ppl 32814028.25
| epoch   1 |  3800/ 6526 batches | lr 20.00 | ms/batch 34.74 | loss 17.80 | ppl 53721603.38
| epoch   1 |  4000/ 6526 batches | lr 20.00 | ms/batch 34.74 | loss 17.70 | ppl 48404564.97
| epoch   1 |  4200/ 6526 batches | lr 20.00 | ms/batch 34.79 | loss 17.74 | ppl 50763204.69
| epoch   1 |  4400/ 6526 batches | lr 20.00 | ms/batch 34.76 | loss 17.38 | ppl 35332118.56
| epoch   1 |  4600/ 6526 batches | lr 20.00 | ms/batch 34.77 | loss 17.63 | ppl 45406532.88
| epoch   1 |  4800/ 6526 batches | lr 20.00 | ms/batch 34.80 | loss 17.25 | ppl 30867816.06
| epoch   1 |  5000/ 6526 batches | lr 20.00 | ms/batch 34.76 | loss 17.85 | ppl 56791287.30
| epoch   1 |  5200/ 6526 batches | lr 20.00 | ms/batch 34.71 | loss 18.29 | ppl 87359933.52
| epoch   1 |  5400/ 6526 batches | lr 20.00 | ms/batch 34.78 | loss 17.22 | ppl 30177937.81
| epoch   1 |  5600/ 6526 batches | lr 20.00 | ms/batch 34.76 | loss 17.51 | ppl 40052988.74
| epoch   1 |  5800/ 6526 batches | lr 20.00 | ms/batch 34.80 | loss 17.79 | ppl 53232349.85
| epoch   1 |  6000/ 6526 batches | lr 20.00 | ms/batch 34.79 | loss 18.37 | ppl 94653454.00
| epoch   1 |  6200/ 6526 batches | lr 20.00 | ms/batch 34.79 | loss 17.75 | ppl 51249895.66
| epoch   1 |  6400/ 6526 batches | lr 20.00 | ms/batch 34.74 | loss 17.93 | ppl 61270269.75
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 235.12s | valid loss 18.44 | valid ppl 101603142.75
-----------------------------------------------------------------------------------------
